#R-- (on the right)				Name		MW		Linked atom on the right -->												Linked atom on the left <--												Linked atom on the left with marked position for 3Mer <--
c1nc(=O)ncc1					Ring1_120_3	95.0794		[c;X3;R1;!$(c=O)]1[n;R1][c;X3;R1](=O)[n;R1][c;X3;R1;!$(c=O)][c;X3;R1]1							[c;X3;R1]3[c;X3;R1;!$(c=O)][n;R1][c;X3;R1](=O)[n;R1][c;X3;R1;!$(c=O)]3							[c;X3;R1]5[c;X3;R1;!$(c=O)](y)[n;R1](y)[c;X3;R1](=O)[n;R1][c;X3;R1;!$(c=O)]5(y)
c1cnc(=O)nc1					Ring1_120_4	95.0794		[c;X3;R1]1[c;X3;R1;!$(c=O)][n;R1][c;X3;R1](=O)[n;R1][c;X3;R1;!$(c=O)]1							[c;X3;R1;!$(c=O)]3[n;R1][c;X3;R1](=O)[n;R1][c;X3;R1;!$(c=O)][c;X3;R1]3							[c;X3;R1;!$(c=O)]5[n;R1][c;X3;R1](=O)[n;R1](y)[c;X3;R1;!$(c=O)](y)[c;X3;R1]5(y)
C1(=O)CCC=NN1					Ring1_142_1	98.1032		[C;X3;R1]1(=O)[C;X4;R1][C;X4;R1][C;X3;R1]=[N;R1][N;R1]1									[N;R1]3[N;R1]=[C;X3;R1][C;X4;R1][C;X4;R1][C;X3;R1]3(=O)									[N;R1]5[N;R1]=[C;X3;R1](y)[C;X4;R1](y)[C;X4;R1](y)[C;X3;R1]5(=O)
C1CC(=O)NN=C1					Ring1_142_2	98.1032		[C;X4;R1]1[C;X4;R1][C;X3;R1](=O)[N;R1][N;R1]=[C;X3;R1]1									[C;X3;R1]3=[N;R1][N;R1][C;X3;R1](=O)[C;X4;R1][C;X4;R1]3									[C;X3;R1]5=[N;R1][N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[C;X4;R1]5(y)
C1C(=O)NN=CC1					Ring1_142_3	98.1032		[C;X4;R1]1[C;X3;R1](=O)[N;R1][N;R1]=[C;X3;R1][C;X4;R1]1									[C;X4;R1]3[C;X3;R1]=[N;R1][N;R1][C;X3;R1](=O)[C;X4;R1]3									[C;X4;R1]5[C;X3;R1](y)=[N;R1][N;R1](y)[C;X3;R1](=O)[C;X4;R1]5(y)
C1(=O)NN=CCC1					Ring1_142_4	98.1032		[C;X3;R1]1(=O)[N;R1][N;R1]=[C;X3;R1][C;X4;R1][C;X4;R1]1									[C;X4;R1]3[C;X4;R1][C;X3;R1]=[N;R1][N;R1][C;X3;R1]3(=O)									[C;X4;R1]5[C;X4;R1](y)[C;X3;R1](y)=[N;R1][N;R1](y)[C;X3;R1]5(=O)
C1(=O)CCC(=O)N1					Ring1_147_1	99.088		[C;X3;R1]1(=O)[C;X4;R1][C;X4;R1][C;X3;R1](=O)[N;R1]1									[N;R1]3[C;X3;R1](=O)[C;X4;R1][C;X4;R1][C;X3;R1]3(=O)									[N;R1]5[C;X3;R1](=O)[C;X4;R1](y)[C;X4;R1](y)[C;X3;R1]5(=O)
C1(=O)NC(=O)CC1					Ring1_147_2	99.088		[C;X3;R1]1(=O)[N;R1][C;X3;R1](=O)[C;X4;R1][C;X4;R1]1									[C;X4;R1]3[C;X4;R1][C;X3;R1](=O)[N;R1][C;X3;R1]3(=O)									[C;X4;R1]5[C;X4;R1](y)[C;X3;R1](=O)[N;R1](y)[C;X3;R1]5(=O)
C1CCCCNC1					Ring1_155_1	99.1741		[C;X4;R1]1[C;X4;R1][C;X4;R1][C;X4;R1][C;X4;R1][N;R1][C;X4;R1]1								[C;X4;R1]3[N;R1][C;X4;R1][C;X4;R1][C;X4;R1][C;X4;R1][C;X4;R1]3								[C;X4;R1]5[N;R1](y)[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1]5(y)
C1CCCNCC1					Ring1_155_2	99.1741		[C;X4;R1]1[C;X4;R1][C;X4;R1][C;X4;R1][N;R1][C;X4;R1][C;X4;R1]1								[C;X4;R1]3[C;X4;R1][N;R1][C;X4;R1][C;X4;R1][C;X4;R1][C;X4;R1]3								[C;X4;R1]5[C;X4;R1](y)[N;R1](y)[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1]5(y)
C1CCNCCC1					Ring1_155_3	99.1741		[C;X4;R1]1[C;X4;R1][C;X4;R1][N;R1][C;X4;R1][C;X4;R1][C;X4;R1]1								[C;X4;R1]3[C;X4;R1][C;X4;R1][N;R1][C;X4;R1][C;X4;R1][C;X4;R1]3								[C;X4;R1]5[C;X4;R1](y)[C;X4;R1](y)[N;R1](y)[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1]5(y)
C1CCCCCN1					Ring1_155_4	99.1741		[C;X4;R1]1[C;X4;R1][N;R1][C;X4;R1][C;X4;R1][C;X4;R1][C;X4;R1]1								[C;X4;R1]3[C;X4;R1][N;R1][C;X4;R1][C;X4;R1][C;X4;R1][C;X4;R1]3								[C;X4;R1]5[C;X4;R1](y)[N;R1](y)[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1]5(y)
O=C1NCC(=O)N1					Ring1_156_1	100.0761	O=[C;X3;R1]1[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1]1										[N;R1]3[C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1]3(=O)									[N;R1]5[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1]5(=O)
C1(=O)NC(=O)CN1					Ring1_156_2	100.0761	[C;X3;R1]1(=O)[N;R1][C;X3;R1](=O)[C;X4;R1][N;R1]1									[N;R1]3[C;X4;R1][C;X3;R1](=O)[N;R1][C;X3;R1]3(=O)									[N;R1]5[C;X4;R1](y)[C;X3;R1](=O)[N;R1](y)[C;X3;R1]5(=O)
N1C(=O)NC(=O)C1					Ring1_156_3	100.0761	[N;R1]1[C;X3;R1](=O)[N;R1][C;X3;R1](=O)[C;X4;R1]1									[C;X4;R1]3[C;X3;R1](=O)[N;R1][C;X3;R1](=O)[N;R1]3									[C;X4;R1]5[C;X3;R1](=O)[N;R1](y)[C;X3;R1](=O)[N;R1]5(y)
C1(=O)NNC(=O)C1					Ring1_157_1	100.0761	[C;X3;R1]1(=O)[N;R1][N;R1][C;X3;R1](=O)[C;X4;R1]1									[C;X4;R1]3[C;X3;R1](=O)[N;R1][N;R1][C;X3;R1]3(=O)									[C;X4;R1]5[C;X3;R1](=O)[N;R1](y)[N;R1](y)[C;X3;R1]5(=O)
N1C(=O)CC(=O)N1					Ring1_157_2	100.0761	[N;R1]1[C;X3;R1](=O)[C;X4;R1][C;X3;R1](=O)[N;R1]1									[N;R1]3[C;X3;R1](=O)[C;X4;R1][C;X3;R1](=O)[N;R1]3									[N;R1]5[C;X3;R1](=O)[C;X4;R1](y)[C;X3;R1](=O)[N;R1]5(y)
C1(=O)C=CC(=O)C=C1				Ring1_183_1	108.0948	[C;X3;R1]1(=O)[C;X3;R1]=[C;X3;R1][C;X3;R1](=O)[C;X3;R1]=[C;X3;R1]1							[C;X3;R1]3=[C;X3;R1][C;X3;R1](=O)[C;X3;R1]=[C;X3;R1][C;X3;R1]3(=O)							[C;X3;R1]5=[C;X3;R1](y)[C;X3;R1](=O)[C;X3;R1](y)=[C;X3;R1](y)[C;X3;R1]5(=O)
c1(=O)ccnc(=O)n1				Ring1_186_1	110.0709	[c;X3;R1]1(=O)[c;X3;R1][c;X3;R1][n;R1][c;X3;R1](=O)[n;R1]1								[n;R1]3[c;X3;R1](=O)[n;R1][c;X3;R1][c;X3;R1][c;X3;R1]3(=O)								[n;R1]5[c;X3;R1](=O)[n;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(=O)
c1nc(=O)nc(=O)c1				Ring1_186_2	110.0709	[c;X3;R1]1[n;R1][c;X3;R1](=O)[n;R1][c;X3;R1](=O)[c;X3;R1]1								[c;X3;R1]3[c;X3;R1](=O)[n;R1][c;X3;R1](=O)[n;R1][c;X3;R1]3								[c;X3;R1]5[c;X3;R1](=O)[n;R1](y)[c;X3;R1](=O)[n;R1](y)[c;X3;R1]5(y)
n1c(=O)nc(=O)cc1				Ring1_186_3	110.0709	[n;R1]1[c;X3;R1](=O)[n;R1][c;X3;R1](=O)[c;X3;R1][c;X3;R1]1								[c;X3;R1]3[c;X3;R1][c;X3;R1](=O)[n;R1][c;X3;R1](=O)[n;R1]3								[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](=O)[n;R1](y)[c;X3;R1](=O)[n;R1]5(y)
c1(=O)nc(=O)ccn1				Ring1_186_4	110.0709	[c;X3;R1]1(=O)[n;R1][c;X3;R1](=O)[c;X3;R1][c;X3;R1][n;R1]1								[n;R1]3[c;X3;R1][c;X3;R1][c;X3;R1](=O)[n;R1][c;X3;R1]3(=O)								[n;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](=O)[n;R1](y)[c;X3;R1]5(=O)
C1(=O)CCCC(=O)N1				Ring1_194_1	113.1146	[C;X3;R1]1(=O)[C;X4;R1][C;X4;R1][C;X4;R1][C;X3;R1](=O)[N;R1]1								[N;R1]3[C;X3;R1](=O)[C;X4;R1][C;X4;R1][C;X4;R1][C;X3;R1]3(=O)								[N;R1]5[C;X3;R1](=O)[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1](y)[C;X3;R1]5(=O)
C1(=O)NC(=O)CCC1				Ring1_194_2	113.1146	[C;X3;R1]1(=O)[N;R1][C;X3;R1](=O)[C;X4;R1][C;X4;R1][C;X4;R1]1								[C;X4;R1]3[C;X4;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X3;R1]3(=O)								[C;X4;R1]5[C;X4;R1](y)[C;X4;R1](y)[C;X3;R1](=O)[N;R1](y)[C;X3;R1]5(=O)
C1C(=O)NC(=O)CC1				Ring1_194_3	113.1146	[C;X4;R1]1[C;X3;R1](=O)[N;R1][C;X3;R1](=O)[C;X4;R1][C;X4;R1]1								[C;X4;R1]3[C;X4;R1][C;X3;R1](=O)[N;R1][C;X3;R1](=O)[C;X4;R1]3								[C;X4;R1]5[C;X4;R1](y)[C;X3;R1](=O)[N;R1](y)[C;X3;R1](=O)[C;X4;R1]5(y)
C1(=O)SCC(=O)N1					Ring1_212_1	117.126		[C;X3;R1]1(=O)[S;R1][C;X4;R1][C;X3;R1](=O)[N;R1]1									[N;R1]3[C;X3;R1](=O)[C;X4;R1][S;R1][C;X3;R1]3(=O)									[N;R1]5[C;X3;R1](=O)[C;X4;R1](y)[S;R1][C;X3;R1]5(=O)
C1(=O)NC(=O)SC1					Ring1_212_2	117.126		[C;X3;R1]1(=O)[N;R1][C;X3;R1](=O)[S;R1][C;X4;R1]1									[C;X4;R1]3[S;R1][C;X3;R1](=O)[N;R1][C;X3;R1]3(=O)									[C;X4;R1]5[S;R1][C;X3;R1](=O)[N;R1](y)[C;X3;R1]5(=O)
O=C1CC(=O)NC(=O)N1				Ring1_224_1	128.0862	O=[C;X3;R1]1[C;X4;R1][C;X3;R1](=O)[N;R1][C;X3;R1](=O)[N;R1]1								[N;R1]3[C;X3;R1](=O)[N;R1][C;X3;R1](=O)[C;X4;R1][C;X3;R1]3(=O)								[N;R1]5[C;X3;R1](=O)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[C;X3;R1]5(=O)
O=C1NC(=O)NC(=O)C1				Ring1_224_2	128.0862	O=[C;X3;R1]1[N;R1][C;X3;R1](=O)[N;R1][C;X3;R1](=O)[C;X4;R1]1								[C;X4;R1]3[C;X3;R1](=O)[N;R1][C;X3;R1](=O)[N;R1][C;X3;R1]3(=O)								[C;X4;R1]5[C;X3;R1](=O)[N;R1](y)[C;X3;R1](=O)[N;R1](y)[C;X3;R1]5(=O)	
C1(=O)NCC(=O)NCC(=O)NCCSSCCC(=O)NCC(=O)NC1	Ring1_266_1	391.466		[C;X3;R1]1(=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X4;R1][S;R1][S;R1][C;X4;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1]1	[C;X4;R1]3[N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][C;X4;R1][S;R1][S;R1][C;X4;R1][C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1]3(=O)	[C;X4;R1]5[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[C;X4;R1](y)[S;R1][S;R1][C;X4;R1](y)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1]5(=O)
C1C(=O)NCC(=O)NCC(=O)NCCSSCCC(=O)NCC(=O)N1	Ring1_266_2	391.466		[C;X4;R1]1[C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X4;R1][S;R1][S;R1][C;X4;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1]1	[N;R1]3[C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][C;X4;R1][S;R1][S;R1][C;X4;R1][C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1]3	[N;R1]5[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[C;X4;R1](y)[S;R1][S;R1][C;X4;R1](y)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1]5(y)
C1(=O)NCC(=O)NCC(=O)NCC(=O)NCCSSCCC(=O)NC1	Ring1_266_3	391.466		[C;X3;R1]1(=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X4;R1][S;R1][S;R1][C;X4;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1]1	[C;X4;R1]3[N;R1][C;X3;R1](=O)[C;X4;R1][C;X4;R1][S;R1][S;R1][C;X4;R1][C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1]3(=O)	[C;X4;R1]5[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[C;X4;R1](y)[S;R1][S;R1][C;X4;R1](y)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1]5(=O)
C1C(=O)NCC(=O)NCC(=O)NCC(=O)NCCSSCCC(=O)N1	Ring1_266_4	391.466		[C;X4;R1]1[C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X4;R1][S;R1][S;R1][C;X4;R1][C;X4;R1][C;X3;R1](=O)[N;R1]1	[N;R1]3[C;X3;R1](=O)[C;X4;R1][C;X4;R1][S;R1][S;R1][C;X4;R1][C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1]3	[N;R1]5[C;X3;R1](=O)[C;X4;R1](y)[C;X4;R1](y)[S;R1][S;R1][C;X4;R1](y)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1]5(y)
C1(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCCSSCC1	Ring1_266_5	391.466		[C;X3;R1]1(=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X4;R1][S;R1][S;R1][C;X4;R1][C;X4;R1]1	[C;X4;R1]3[C;X4;R1][S;R1][S;R1][C;X4;R1][C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1]3(=O)	[C;X4;R1]5[C;X4;R1](y)[S;R1][S;R1][C;X4;R1](y)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1]5(=O)
C1C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCCSSC1	Ring1_266_6	391.466		[C;X4;R1]1[C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X4;R1][S;R1][S;R1][C;X4;R1]1	[C;X4;R1]3[S;R1][S;R1][C;X4;R1][C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1]3	[C;X4;R1]5[S;R1][S;R1][C;X4;R1](y)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1]5(y)
S1SCCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC1	Ring1_266_7	391.466		[S;R1]1[S;R1][C;X4;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X4;R1]1	[C;X4;R1]3[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][C;X4;R1][S;R1][S;R1]3	[C;X4;R1]5[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[C;X4;R1](y)[S;R1][S;R1]5
C1SSCCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NC1	Ring1_266_8	391.466		[C;X4;R1]1[S;R1][S;R1][C;X4;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1]1	[C;X4;R1]3[N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][C;X4;R1][S;R1][S;R1][C;X4;R1]3	[C;X4;R1]5[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[C;X4;R1](y)[S;R1][S;R1][C;X4;R1]5(y)
C1CSSCCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N1	Ring1_266_9	391.466		[C;X4;R1]1[C;X4;R1][S;R1][S;R1][C;X4;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1]1	[N;R1]3[C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][C;X4;R1][S;R1][S;R1][C;X4;R1][C;X4;R1]3	[N;R1]5[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[C;X4;R1](y)[S;R1][S;R1][C;X4;R1](y)[C;X4;R1]5(y)
C1(=O)NCCSSCCC(=O)NCC(=O)NCC(=O)NCC(=O)NC1	Ring1_266_10	391.466		[C;X3;R1]1(=O)[N;R1][C;X4;R1][C;X4;R1][S;R1][S;R1][C;X4;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1]1	[C;X4;R1]3[N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][C;X4;R1][S;R1][S;R1][C;X4;R1][C;X4;R1][N;R1][C;X3;R1]3(=O)	[C;X4;R1]5[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[C;X4;R1](y)[S;R1][S;R1][C;X4;R1](y)[C;X4;R1](y)[N;R1](y)[C;X3;R1]5(=O)
C1C(=O)NCCSSCCC(=O)NCC(=O)NCC(=O)NCC(=O)N1	Ring1_266_11	391.466		[C;X4;R1]1[C;X3;R1](=O)[N;R1][C;X4;R1][C;X4;R1][S;R1][S;R1][C;X4;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1]1	[N;R1]3[C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][C;X4;R1][S;R1][S;R1][C;X4;R1][C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1]3	[N;R1]5[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[C;X4;R1](y)[S;R1][S;R1][C;X4;R1](y)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1]5(y)
C1(=O)NCC(=O)NCCSSCCC(=O)NCC(=O)NCC(=O)NC1	Ring1_266_12	391.466		[C;X3;R1]1(=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X4;R1][S;R1][S;R1][C;X4;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1]1	[C;X4;R1]3[N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][C;X4;R1][S;R1][S;R1][C;X4;R1][C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1]3(=O)	[C;X4;R1]5[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[C;X4;R1](y)[S;R1][S;R1][C;X4;R1](y)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1]5(=O)
C1C(=O)NCC(=O)NCCSSCCC(=O)NCC(=O)NCC(=O)N1	Ring1_266_13	391.466		[C;X4;R1]1[C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X4;R1][S;R1][S;R1][C;X4;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1][C;X4;R1][C;X3;R1](=O)[N;R1]1	[N;R1]3[C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][C;X4;R1][S;R1][S;R1][C;X4;R1][C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1][N;R1][C;X3;R1](=O)[C;X4;R1]3	[N;R1]5[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[C;X4;R1](y)[S;R1][S;R1][C;X4;R1](y)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[C;X4;R1]5(y)
C1CC2CC1CC2					Ring2_6_1	96.1702		[C;X4;R1]1[C;X4;R1][C;X4;R2]2[C;X4;R2][C;X4;R2]1[C;X4;R1][C;X4;R1]2							[C;X4;R1]4[C;X4;R1][C;X4;R2]3[C;X4;R2][C;X4;R2]4[C;X4;R1][C;X4;R1]3							[C;X4;R1]6[C;X4;R1](y)[C;X4;R2]5(y)[C;X4;R2](y)[C;X4;R2]6(y)[C;X4;R1](y)[C;X4;R1]5(y)
C1C(CC2)CCC12					Ring2_6_2	96.1702		[C;X4;R2]1[C;X4;R2]([C;X4;R1][C;X4;R1]2)[C;X4;R1][C;X4;R1][C;X4;R2]12							[C;X4;R2]34[C;X4;R1][C;X4;R1][C;X4;R2]([C;X4;R1][C;X4;R1]4)[C;X4;R2]3							[C;X4;R2]56[C;X4;R1](y)[C;X4;R1](y)[C;X4;R2](y)([C;X4;R1](y)[C;X4;R1]6(y))[C;X4;R2]5(y)
