#R-- (on the right)				Name		MW		Linked atom on the right -->												Linked atom on the left <--												Linked atom on the left with marked position for 3Mer <--
c1cn[nH]c1					Ring1_8_4	67.0693		[c;X3;R1]1[c;X3;R1;!$(c=O)][n;X2;R1][n;X3;R1][c;X3;R1;!$(c=O)]1								[c;X3;R1;!$(c=O)]3[n;X3;R1][n;X2;R1][c;X3;R1;!$(c=O)][c;X3;R1]3								[c;X3;R1;!$(c=O)]5[n;X3;R1](y)[n;X2;R1][c;X3;R1;!$(c=O)](y)[c;X3;R1]5(y)
c1ncc[nH]1					Ring1_9_1	67.0693		[c;X3;R1;!$(c=O);!$(c=S)]1[n;X2;R1][c;X3;R1][c;X3;R1][n;X3;R1]1								[n;X3;R1]3[c;X3;R1][c;X3;R1][n;X2;R1][c;X3;R1;!$(c=O);!$(c=S)]3								[n;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[n;X2;R1][c;X3;R1;!$(c=O);!$(c=S)]5(y)
[nH]1ccnc1					Ring1_9_2	67.0693		[n;X3;R1]1[c;X3;R1][c;X3;R1][n;X2;R1][c;X3;R1;!$(c=O);!$(c=S)]1								[c;X3;R1;!$(c=O);!$(c=S)]3[n;X2;R1][c;X3;R1][c;X3;R1][n;X3;R1]3								[c;X3;R1;!$(c=O);!$(c=S)]5[n;X2;R1][c;X3;R1](y)[c;X3;R1](y)[n;X3;R1]5(y)
[nH]1cncc1					Ring1_9_3	67.0693		[n;X3;R1]1[c;X3;R1;!$(c=O);!$(c=S)][n;X2;R1][c;X3;R1][c;X3;R1]1								[c;X3;R1]3[c;X3;R1][n;X2;R1][c;X3;R1;!$(c=O);!$(c=S)][n;X3;R1]3								[c;X3;R1]5[c;X3;R1](y)[n;X2;R1][c;X3;R1;!$(c=O);!$(c=S)](y)[n;X3;R1]5(y)
c1[nH]cnc1					Ring1_9_4	67.0693		[c;X3;R1]1[n;X3;R1][c;X3;R1;!$(c=O);!$(c=S)][n;X2;R1][c;X3;R1]1								[c;X3;R1]3[n;X2;R1][c;X3;R1;!$(c=O);!$(c=S)][n;X3;R1][c;X3;R1]3								[c;X3;R1]5[n;X2;R1][c;X3;R1;!$(c=O);!$(c=S)](y)[n;X3;R1](y)[c;X3;R1]5(y)
c1nncn1						Ring1_11_1	68.0574		[c;X3;R1;!$(c=O);!$(c=S)]1[n;R1][n;R1][c;X3;R1;!$(c=O);!$(c=S)][n;R1]1							[n;R1]3[c;X3;R1;!$(c=O);!$(c=S)][n;R1][n;R1][c;X3;R1;!$(c=O);!$(c=S)]3							[n;R1]5[c;X3;R1;!$(c=O);!$(c=S)](y)[n;R1][n;R1][c;X3;R1;!$(c=O);!$(c=S)]5(y)
n1ncnc1						Ring1_11_2	68.0574		[n;R1]1[n;R1][c;X3;R1;!$(c=O);!$(c=S)][n;R1][c;X3;R1;!$(c=O);!$(c=S)]1							[c;X3;R1;!$(c=O);!$(c=S)]3[n;R1][c;X3;R1;!$(c=O);!$(c=S)][n;R1][n;R1]3							[c;X3;R1;!$(c=O);!$(c=S)]5[n;R1](y)[c;X3;R1;!$(c=O);!$(c=S)](y)[n;R1][n;R1]5
n1cnnc1						Ring1_11_3	68.0574		[n;R1]1[c;X3;R1;!$(c=O);!$(c=S)][n;R1][n;R1][c;X3;R1;!$(c=O);!$(c=S)]1							[c;X3;R1;!$(c=O);!$(c=S)]3[n;R1][n;R1][c;X3;R1;!$(c=O);!$(c=S)][n;R1]3							[c;X3;R1;!$(c=O);!$(c=S)]5[n;R1][n;R1][c;X3;R1;!$(c=O);!$(c=S)](y)[n;R1]5(y)
c1ccoc1						Ring1_12_1	68.0740		[c;X3;R1]1[c;X3;R1][c;X3;R1][o;R1][c;X3;R1]1										[c;X3;R1]3[o;R1][c;X3;R1][c;X3;R1][c;X3;R1]3										[c;X3;R1]5[o;R1][c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
c1cocc1						Ring1_12_2	68.0740		[c;X3;R1]1[c;X3;R1][o;R1][c;X3;R1][c;X3;R1]1										[c;X3;R1]3[c;X3;R1][o;R1][c;X3;R1][c;X3;R1]3										[c;X3;R1]5[c;X3;R1](y)[o;R1][c;X3;R1](y)[c;X3;R1]5(y)
c1nnn[nH]1					Ring1_14_1	69.0454		[c;X3;R1;!$(c=O)]1[n;X2;R1][n;X2;R1][n;X2;R1][n;X3;R1]1									[n;X3;R1]3[n;X2;R1][n;X2;R1][n;X2;R1][c;X3;R1;!$(c=O)]3									[n;X3;R1]5[n;X2;R1][n;X2;R1][n;X2;R1][c;X3;R1;!$(c=O)]5(y)
[nH]1nnnc1					Ring1_14_2	69.0454		[n;X3;R1]1[n;X2;R1][n;X2;R1][n;X2;R1][c;X3;R1;!$(c=O)]1									[c;X3;R1;!$(c=O)]3[n;X2;R1][n;X2;R1][n;X2;R1][n;X3;R1]3									[c;X3;R1;!$(c=O)]5[n;X2;R1][n;X2;R1][n;X2;R1][n;X3;R1]5(y)
o1nccc1						Ring1_15_1	69.062		[o;R1]1[n;R1][c;X3;R1][c;X3;R1][c;X3;R1]1										[c;X3;R1]3[c;X3;R1][c;X3;R1][n;R1][o;R1]3										[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[n;R1][o;R1]5
c1oncc1						Ring1_15_2	69.062		[c;X3;R1]1[o;R1][n;R1][c;X3;R1][c;X3;R1]1										[c;X3;R1]3[c;X3;R1][n;R1][o;R1][c;X3;R1]3										[c;X3;R1]5[c;X3;R1](y)[n;R1][o;R1][c;X3;R1]5(y)
c1conc1						Ring1_15_3	69.062		[c;X3;R1]1[c;X3;R1][o;R1][n;R1][c;X3;R1]1										[c;X3;R1]3[n;R1][o;R1][c;X3;R1][c;X3;R1]3										[c;X3;R1]5[n;R1][o;R1][c;X3;R1](y)[c;X3;R1]5(y)
n1ccoc1						Ring1_16_1	69.0620		[n;R1]1[c;X3;R1][c;X3;R1][o;R1][c;X3;R1;!$(c=O)]1									[c;X3;R1;!$(c=O)]3[o;R1][c;X3;R1][c;X3;R1][n;R1]3									[c;X3;R1;!$(c=O)]5[o;R1][c;X3;R1](y)[c;X3;R1](y)[n;R1]5
c1ocnc1						Ring1_16_2	69.0620		[c;X3;R1]1[o;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R1]1									[c;X3;R1]3[n;R1][c;X3;R1;!$(c=O)][o;R1][c;X3;R1]3									[c;X3;R1]5[n;R1][c;X3;R1;!$(c=O)](y)[o;R1][c;X3;R1]5(y)	
o1cncc1						Ring1_16_3	69.0620		[o;R1]1[c;X3;R1;!$(c=O)][n;R1][c;X3;R1][c;X3;R1]1									[c;X3;R1]3[c;X3;R1][n;R1][c;X3;R1;!$(c=O)][o;R1]3									[c;X3;R1]5[c;X3;R1](y)[n;R1][c;X3;R1;!$(c=O)](y)[o;R1]5	
n1conc1						Ring1_21_1	70.0501		[n;R1]1[c;X3;R1;!$(c=O);!$(c=N)][o;R1][n;R1][c;X3;R1]1									[c;X3;R1]3[n;R1][o;R1][c;X3;R1;!$(c=O);!$(c=N)][n;R1]3									[c;X3;R1]5[n;R1][o;R1][c;X3;R1;!$(c=O);!$(c=N)](y)[n;R1]5
o1ncnc1						Ring1_21_2	70.0501		[o;R1]1[n;R1][c;X3;R1][n;R1][c;X3;R1;!$(c=O);!$(c=N)]1									[c;X3;R1;!$(c=O);!$(c=N)]3[n;R1][c;X3;R1][n;R1][o;R1]3									[c;X3;R1;!$(c=O);!$(c=N)]5[n;R1][c;X3;R1](y)[n;R1][o;R1]5
C1[NH]C=NC1					Ring1_24_1	70.0931		[C;X4;R1]1[N;X3;R1][C;X3;R1]=[N;X2;R1][C;X4;R1]1									[C;X4;R1]3[N;X2;R1]=[C;X3;R1][N;X3;R1][C;X4;R1]3									[C;X4;R1]5(y)[N;X2;R1]=[C;X3;R1](y)[N;X3;R1](y)[C;X4;R1]5(y)
[NH]1C=NCC1					Ring1_24_2	70.0931		[N;X3;R1]1[C;X3;R1]=[N;X2;R1][C;X4;R1][C;X4;R1]1									[C;X4;R1]3[C;X4;R1][N;X2;R1]=[C;X3;R1][N;X3;R1]3									[C;X4;R1]5(y)[C;X4;R1](y)[N;X2;R1]=[C;X3;R1](y)[N;X3;R1]5(y)
C1=NCC[NH]1					Ring1_24_3	70.0931		[C;X3;R1]1=[N;X2;R1][C;X4;R1][C;X4;R1][N;X3;R1]1									[N;X3;R1]3[C;X4;R1][C;X4;R1][N;X2;R1]=[C;X3;R1]3									[N;X3;R1]5[C;X4;R1](y)[C;X4;R1](y)[N;X2;R1]=[C;X3;R1]5(y)
[NH]1CCN=C1					Ring1_24_4	70.0931		[N;X3;R1]1[C;X4;R1][C;X4;R1][N;X2;R1]=[C;X3;R1]1									[C;X3;R1]3=[N;X2;R1][C;X4;R1][C;X4;R1][N;X3;R1]3									[C;X3;R1]5=[N;X2;R1][C;X4;R1](y)[C;X4;R1](y)[N;X3;R1]5(y)
C1CCCC1						Ring1_27_1	70.1329		[C;X4;R1]1[C;X4;R1][C;X4;R1][C;X4;R1][C;X4;R1]1										[C;X4;R1]3[C;X4;R1][C;X4;R1][C;X4;R1][C;X4;R1]3										[C;X4;R1]5(y)[C;X4;R1][C;X4;R1](y)[C;X4;R1][C;X4;R1]5(y)
C1CCCN1						Ring1_31_1	71.1210		[C;X4;R1]1[C;X4;R1][C;X4;R1][C;X4;R1][N;R1]1										[N;R1]3[C;X4;R1][C;X4;R1][C;X4;R1][C;X4;R1]3										[N;R1]5[C;X4;R1][C;X4;R1](y)[C;X4;R1][C;X4;R1]5(y)
C1CCNC1						Ring1_31_2	71.1210		[C;X4;R1]1[C;X4;R1][C;X4;R1][N;R1][C;X4;R1]1										[C;X4;R1]3[N;R1][C;X4;R1][C;X4;R1][C;X4;R1]3										[C;X4;R1]5(y)[N;R1](y)[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1]5(y)
C1CNCC1						Ring1_31_3	71.1210		[C;X4;R1]1[C;X4;R1][N;R1][C;X4;R1][C;X4;R1]1										[C;X4;R1]3[C;X4;R1][N;R1][C;X4;R1][C;X4;R1]3										[C;X4;R1]5(y)[C;X4;R1](y)[N;R1](y)[C;X4;R1](y)[C;X4;R1]5(y)
